Subject,Label
27154,lente
28521,camera's
27678,aardbeien
28083,wetenschappelijk onderzoek
26171,licht
27107,radar
27108,tentoonstellingen
25289,bloemen
25890,honden
27748,molens
28246,conferenties
28142,schepen
27344,wapenstilstand
29444,vredesonderhandelingen
25276,gezinnen
27800,vliegtuigen
27124,politionele acties
29892,bouwactiviteiten
26034,kamerverhuur
28517,cafés
26854,stranden
28369,jongens
28271,havens
27782,militairen
28377,vliegdekschepen
25935,humor
27863,winter
28117,sneeuw
25661,export
25600,eieren
28775,paarden
29537,ringsteken
24993,bisschoppen
29013,processies
26446,optochten
28025,geestelijken
28507,defilés
28238,herdenkingen
27880,kransleggingen
27760,mariniers
28217,onderscheidingen
28158,tewaterlatingen
27897,tankers
28702,veerboten
28432,kazernes
28566,fietsen
28061,zwemmen
28452,huwelijken
28137,runderen
25741,geiten
28832,konijnen
27119,pluimvee
27946,atletiek
28155,tennis
29259,demonstraties
28094,tunnels
28674,roeien
26019,juweliers
28204,kernenergie
25494,betogingen
27834,uranium
29355,spoorbruggen
26263,menigte
28226,treinen
26818,stations
27362,wederopbouw
25166,spoorwegen
28044,politiek
28209,artiesten
28298,hockey
26868,stunts
25318,acrobatiek
25301,bosbouw
25908,houthakkers
28302,gymnastiek
27092,ongevallen
25233,sabotage
27197,kinderen
25478,dansen
26311,mode
27727,paardensport
28126,rondvaartboten
28286,grachten
27155,kwekerijen
28994,krijgsgevangenen
29590,vrijlatingen
27533,draf- en rensport
29043,vrachtwagens
26058,kerstbomen
25295,bevrijding
27765,mascottes
27131,plechtigheden
28700,vaandels
28523,campings
26175,lifters
28060,zwembaden
28701,vakantie
27948,auto's
27961,boksen
28600,elektriciteit
26924,tests
27105,reddingsboten
25433,ballonnen
28560,feesten
27833,uitvindingen
29809,bijzondere voertuigen
24960,beurzen
25275,handel
28181,sport
26726,slagers
28099,sleepboten
27410,wol
28153,schapen
27759,wielrennen
29897,inzamelingen
25613,emblemen
28200,muziek
27851,vorstenhuizen
29679,kegelen
28592,dodenherdenkingen
25921,huisartsen
27885,maatschappelijk werk
25450,consultatiebureaus
27912,supermarkten
27196,kinderdagverblijven
24973,bibliotheken
27733,scholen
27862,winkels
26786,sportaccommodaties
27171,luchtvaart
28011,stakingen
29310,vliegtuigkapingen
27100,piloten
27211,veldrijden
26336,motorsport
26354,muziekkorpsen
27291,voetbal
26665,scheidsrechters
26807,stadions
26584,publiek
28805,keurmeesters
27763,markten
29791,loven en bieden
27959,boeren
28029,geld
28543,dieren
25513,dierenartsen
28462,hotels
28186,ministers
29781,eters
28791,kanaries
27083,oorlogsschade
26863,studenten
26714,sieraden
26317,modeshows
27737,musici
28190,jubilea
27141,postbodes
29024,spoorwegongevallen
25006,bloemencorso's
25281,biljarten
29229,religieuze diensten
26635,religieuze voorwerpen
26636,relikwieën
25218,katholicisme
26979,turnen
28143,schilderijen
27075,pakhuizen
26884,tabak
25043,branden
29844,monumentenzorg
28266,woningen
27087,openingen
27805,viaducten
27949,autobussen
24931,bedrijfssluitingen
28549,chemische industrie
28196,steenkool
26291,mijnwerkers
26092,kolenmijnen
28194,fabrieken
28684,skiën
28608,duinen
28459,hooi
25901,hooien
26434,oogsten
28333,glas
25784,glaskunst
28148,scheepsbouw
26740,sluizen
27229,verkeersonderwijs
28180,politie
25526,diplomatie
